Species name,Plant Group,Comment about Selection,Comments
Abies balsamea,Conifer,,
Acer spicatum,Deciduous Shrub,,
Agrostis spp.,Grass,,
Alectoria ochroleuca,Arboreal Lichen,,
Alectoria sarmentosa,Arboreal Lichen,,
Alnus crispa,Deciduous Shrub,,
Alnus rugosa,Deciduous Shrub,,
Alnus tenuifolia,Deciduous Shrub,,
Amelanchier alnifolia,Deciduous Shrub,,
Amelanchier sanguinea,Deciduous Shrub,,
Anaphalis margaritacea,Forb,,
Apocynum androsaemifolium,Forb,,
Aralia hispida,Deciduous Shrub,,
Aralia nudicaulis,Forb,,
Arctostaphylos rubra,Forb,,
Arctostaphylos uva-ursi ,Evergreen Shrub,,
Artemisia arctica,Forb,,
Aster ciliolatum,Forb,,
Aster conspicuus,Forb,,
Aster lanceolatus,Forb,,
Aster macrophylla,Forb,,
Astragalus alpinus,Forb,,
Astragalus australis,Forb,,
Athyrium filix-femina,Fern,,
Betula glandulosa,Deciduous Shrub,,
Betula papyrifera,Deciduous Shrub,Strongly Selected shrub,
Betula pumila,Deciduous Shrub,,
Bryoria spp.,Arboreal Lichen,,
Calamagrostis canadensis,Grass,,
Carex aquatilis,Graminoid,,
Carex rostratta,Graminoid,,
Carex spp.,Graminoid,,
Cetraria islandica,Terrestrial lichen,,
Chamaedaphne calyculata,Evergreen Shrub,,
Cladina mitis,Terrestrial lichen,,looks like these are in the Cladonia genus now (same species)
Cladina rangiferina,Terrestrial lichen,,looks like these are in the Cladonia genus now (same species)
Cladina stellaris,Terrestrial lichen,,looks like these are in the Cladonia genus now (same species)
Cladonia spp.,Terrestrial lichen,Strongly Selected Terrestrial Lichen,
Cladonia uncialis,Terrestrial lichen,,
Clintonia borealis,Forb,,
Clintonia uniflora,Forb,,
Coptis trifolia,Forb,,
Cornus canadensis,Forb,Strongly Avoided forb,
Cornus stolonifera,Deciduous Shrub,,
Corylus cornuta,Deciduous Shrub,,
Diervilla lonicera,Deciduous Shrub,,
Dryas spp.,Evergreen Shrub,,
Dryopteris carthusiana,Fern,,
Elymus glaucus,Grass,,
Elymus innovatus,Grass,,
Empetrum nigrum,Evergreen Shrub,,
Epigaea repens,Evergreen Shrub,,
Epilobium angustifolium,Forb,,
Equisetum arvense,Forb,,
Equisetum fluviatile,Forb,,
Equisetum pratense,Forb,,
Equisetum scirpoides,Forb,,
Equisetum sylvaticus,Forb,,
Eriophorum vaginatum,Grass,,
Evernia mesomorpha,Aboreal lichen,,
Festuca alpina,Grass,,
Festuca altaica,Grass,,
Flavocetraria cucullata,Terrestrial lichen,Strongly Selected Terrestrial Lichen,
Flavocetraria nivalis,Terrestrial lichen,,
Fragaria virginiana,Forb,,
Galium triflorum,Forb,,
Gaultheria hispidula,Evergreen Shrub,,
Gaultheria procumbens,Evergreen Shrub,,
Gowardia nigricans,Aboreal lichen,,
Gymnocarpium dryopteris,Fern,,
Hieracium spp.,Forb,,
Juncus spp.,Graminoid,,
Kalmia polifolia,Evergreen Shrub,,
Larix laricina,Conifer,,
Lathyrus spp.,Forb,,
Ledum groenlandicum,Evergreen Shrub,Strongly Avoided shrub,
Linnaea borealis,Evergreen Shrub,,
Lonicera involucrata,Deciduous Shrub,,
Lycopodium annotinum,Club moss,,
Lycopodium clavatum,Club moss,,
Lycopodium complanatum,Club moss,Strongly Avoided clubmoss,
Lycopodium dendroideum,Club moss,,
Maianthemum canadense,Forb,,
Melampyrum lineare,Forb,,
Mertensia paniculata,Forb,,
Mitella nuda,Forb,,
Moss,Moss,,
Mushrooms,Fungus,most mushrooms strongly selected,
Myrica gale,Deciduous Shrub,,
Oryzopsis asperifolia,Grass,,
Osmunda claytoniana,Fern,,
Oxytropis nigrescens,Forb,,
Oxytropis splendens,Forb,,
Parmeliaceae (family) spp., 'Stick' lichen,,
Pedicularis labradorica ,Forb,,
Peltigera aphthosa,Pelt lichen,,
Peltigera spp.,Pelt lichen,,
Petasites palmatus,Forb,,
Phegopteris connectilis,Fern,,
Picea engelmannii,Conifer,,
Picea glauca,Conifer,,
Picea mariana,Conifer,,
Pinus banksiana,Conifer,,
Pinus contorta,Conifer,,
Pinus resinosa,Conifer,,
Polmonium caeruleum,Forb,,
Polygonum cilinode,Forb,,
Polypodium virginianum,Fern,,
Populus balsamifera,Deciduous Shrub,,
Populus tremuloides,Deciduous Shrub,,
Prunus pensylvanica,Deciduous Shrub,,
Pteridium aquilinum,Fern,,
Pyrola spp.,Forb (evergreen),,
Rhamalina intermedia,Lichen (rock),,
Rhododendron albiflora,Deciduous Shrub,,
Rosa acicularis,Deciduous Shrub,,
Rubus chamaemorus,Forb,,
Rubus idaeus,Deciduous Shrub,,
Rubus parviflora,Deciduous Shrub,,
Rubus pedatus,Deciduous Shrub,,
Rubus pubescens,Deciduous Shrub,,
Rumex spp.,Forb,,
Salix bebbiana,Deciduous Shrub,,
Salix discolor,Deciduous Shrub,,
Salix humilis,Deciduous Shrub,,
Salix pedicellaris,Deciduous Shrub,,
Salix pseudomonticola,Deciduous Shrub,,
Salix reticulata,Deciduous Shrub,,
Salix serissima,Deciduous Shrub,,
Scirpus cyperinus,Graminoid,,
Senecio triangularis,Forb,,
Shelf Fungus,Fungus,,
Sheperdia canadensis,Deciduous Shrub,,
Smilacina racemosa,Forb,,
Smilacina trifolia,Forb,,
Solidago multiradiata ,Forb,,
Sorbus decora,Deciduous Shrub,,
Sorbus scopulina,Deciduous Shrub,,
Stereocaulon paschale,Terrestrial lichen,Strongly Avoided Terrestrial lichen,
Streptopus amplexifolius,Forb,Strongly Selected forb,
Trifolium spp.,Forb,,
Typha latifolia,Forb,,
Umbilicaria hyperborea,Lichen (rock),,
Usnea spp.,Arboreal Lichen,,
Vaccinium angustifolium,Deciduous Shrub,,
Vaccinium membranaceum,Deciduous Shrub,,
Vaccinium myrtilloides,Deciduous Shrub,,
Vaccinium oxycoccos,Evergreen Shrub,,
Vaccinium uliginosum,Deciduous Shrub,,
Vaccinium vitis-idaea,Evergreen Shrub,,
Valeriana sitchensis,Forb,,
Veratrum viride,Forb,,
Viburnum edule,Deciduous Shrub,,
Viola spp.,Forb,,